"id","lastpage","Start[naviConfig]","Start[mobile]","Start[consentGiven]","Start[screenSize]","Start[userAgent]","Start[prolificPID]","Age","Gender[gender]","CheckActiveReading","solarIntroGranny[navigationSolar]","Xsolar1[taskTime]","Xsolar1[completed]","Xsolar1[moves]","Xsolar1[errors]","Xsolar2[taskTime]","Xsolar2[completed]","Xsolar2[moves]","Xsolar2[errors]","solarUEQShedonism[boring]","solarUEQShedonism[notInteresting]","solarUEQShedonism[conventional]","solarUEQShedonism[usual]","solarUEQSusability[obstructive]","solarUEQSusability[complicated]","solarUEQSusability[inefficient]","solarUEQSusability[confusing]","batteryIntroGranny[navigationBattery]","Xbattery1[taskTime]","Xbattery1[completed]","Xbattery1[moves]","Xbattery1[errors]","Xbattery2[taskTime]","Xbattery2[completed]","Xbattery2[moves]","Xbattery2[errors]","batteryUEQSusability[obstructive]","batteryUEQSusability[complicated]","batteryUEQSusability[inefficient]","batteryUEQSusability[confusing]","batteryUEQShedonism[boring]","batteryUEQShedonism[notInteresting]","batteryUEQShedonism[conventional]","batteryUEQShedonism[usual]","DataQuality","DataQualityFollowUp","Feedback","ConsentGiven"
"256","21","big","true","Y","412x780","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.6045.66 Mobile Safari/537.36","{{%PROLIFIC_PID%}}","999","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","9868.09999999404","1","2","0","26309.79999998212","1","17","0","1","2","3","4","1","2","2","3","hamTop","12976.59999999404","1","3","0","8988.90000000596","1","1","0","2","3","4","5","1","2","3","4","No","This was a test","",""
"257","21","small","true","Y","390x657","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/119.0.6045.169 Mobile/15E148 Safari/604.1","63d0081351ca62f5d331e29c","45","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","25561","1","4","0","40132","1","4","0","4","4","2","2","5","4","4","4","bottomBar","38958","1","1","0","9059","1","1","0","6","6","6","5","3","5","4","4","Yes","","",""
"258","1","big","true","Y","428x745","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1","63c06a4178fe34a6501fc579","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"259","21","small","true","Y","428x744","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1","60ddbc7eec4a07bf29e35686","51","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","26950.000000000004","1","5","0","35584","1","4","0","5","5","5","5","6","6","7","6","bottomBar","42459","1","2","0","11849","1","2","0","7","7","7","7","5","6","5","5","Yes","","This was an interesting survey! Easy but still interesting. ",""
"260","21","big","true","Y","374x700","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","5ce01cc5c663fb0001e28535","38","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","36883.5","1","20","0","41843.300000000745","1","17","0","2","2","3","2","2","2","1","2","hamTop","33341.59999999963","1","3","0","29632.799999998882","1","8","0","2","2","2","2","2","2","2","2","Yes","","",""
"261","21","small","true","Y","390x669","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/119.0.6045.169 Mobile/15E148 Safari/604.1","604edac36268c3d4dde87023","30","man","This is the button for a hamburger menu, which opens after you click on it.","hamTop","33433","1","3","0","14966","1","4","0","6","6","6","6","6","7","7","7","bottomBar","8339.000000000002","1","1","0","10213","1","1","0","7","7","7","7","7","7","7","7","Yes","","",""
"262","21","big","true","Y","393x659","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1","655cc53fcfb72a1332bf53a1","33","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","34353","1","6","0","29663","1","16","0","4","4","3","2","4","6","3","3","hamTop","21106","1","3","0","8938","1","1","0","5","6","6","6","4","4","4","3","Yes","","",""
"263","21","small","true","Y","375x547","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1","6151b5ac7510be42d379540b","50","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","20807.000000000004","1","4","0","19274","1","2","0","5","5","5","5","6","7","7","7","hamTop","35192","1","2","0","10698","1","1","0","6","7","6","7","5","5","5","4","Yes","","N/A",""
"264","21","big","true","Y","412x678","Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-G965U1) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/23.0 Chrome/115.0.0.0 Mobile Safari/537.36","6400e78d52d3311f5456d932","31","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","44978","1","24","0","49318.40000003576","1","21","0","2","2","4","4","4","4","3","4","hamTop","13279.599999964237","1","2","0","12757.800000011921","1","1","0","5","5","5","5","4","5","4","4","Yes","","",""
"265","21","small","true","Y","414x710","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/290.1.581873948 Mobile/15E148 Safari/604.1","5a00f2cdff266c0001d1f42c","35","man","This is the button for a hamburger menu, which opens after you click on it.","hamTop","30936","1","3","0","16131","1","4","0","5","6","6","5","6","6","6","6","bottomBar","26792","1","3","0","17838","1","3","0","6","6","6","6","5","4","4","4","Yes","","",""
"266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"267","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"269","21","small","true","Y","384x689","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","5f5addd46352f01f839a6b23","48","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","19344.299999999814","1","4","0","27242","1","4","0","5","6","4","4","5","6","7","7","hamTop","15139.400000000373","1","1","0","29745.199999999255","1","2","0","6","6","7","7","5","5","2","3","Yes","","",""
"270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"271","21","small","true","Y","412x786","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","6022cb0bc69ce70874b42f78","40","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","17390.5","1","3","0","14000.800000000745","1","1","0","6","7","7","7","6","7","7","6","hamTop","18096.89999999851","1","2","0","11607","1","1","0","6","4","7","7","5","7","5","7","Yes","","I thought this was unique and fun",""
"273","21","small","true","Y","428x744","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1","62d55b4595f92ae1b53fd2ea","32","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","18898","1","4","0","22066","1","3","1","6","6","7","7","6","7","7","7","hamTop","16624.000000000004","1","2","0","26928","1","1","0","5","7","7","5","5","5","6","5","Yes","","",""
"274","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"275","21","small","true","Y","414x713","Mozilla/5.0 (iPhone; CPU iPhone OS 15_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Mobile/15E148 Safari/604.1","6547a2d81dc8dbde395fe580","22","man","This button will end the experiement.","bottomBar","11451","1","1","0","25125","1","4","0","6","5","7","6","4","6","6","5","hamTop","9258","1","1","0","27868","1","2","0","5","5","6","4","7","6","6","6","Yes","","Was very eye catching and made me want to pay attention ",""
"276","21","big","true","Y","375x548","Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1","5f52c028bd24e75c66799427","30","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","41353","1","11","0","42769","1","12","0","6","6","6","5","6","6","6","6","hamTop","20568.000000000004","1","3","0","53062","1","3","0","6","5","6","6","5","6","5","5","Yes","","",""
"277","21","small","true","Y","360x718","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","5dd671942b033b5ec8bc97b4","24","man","This is the button for a hamburger menu, which opens after you click on it.","hamTop","17059.099999999977","1","4","0","17514.599999999977","1","1","0","5","6","6","5","6","6","7","6","bottomBar","10691.900000000023","1","2","0","12378.099999999977","1","2","0","6","7","6","6","7","6","6","6","Yes","","None at this time, thank you.",""
"278","21","big","true","Y","393x698","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","5c65b8c8dd329700015832c6","41","man","This is the button for a hamburger menu, which opens after you click on it.","hamTop","37079","1","5","1","62580.69999998808","1","6","0","5","5","3","3","5","5","5","5","bottomBar","48800.5","1","12","0","15364.899999976158","1","2","0","5","3","5","5","5","5","6","6","Yes","","",""
"279","14","small","true","Y","393x659","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1","65492780e8fe393e182c36de","41","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","61739","1","4","0","14406","1","4","0","5","7","7","5","6","6","7","7","hamTop","1107763","0","0","0","","","","","","","","","","","","","N/A","","",""
"280","21","big","true","Y","432x836","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","641ec1a9d9fe8a0941e39862","44","man","This is the button for a hamburger menu, which opens after you click on it.","hamTop","99851.89999997616","1","13","0","20495.80000001192","1","6","0","6","6","2","5","6","2","6","6","bottomBar","26057.600000023842","1","8","0","11334.300000011921","1","2","0","6","2","6","7","6","6","6","6","Yes","","",""
"281","21","small","true","Y","414x714","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1","653c36aea31cfbf34da53fbf","60","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","11932","1","1","0","44270","1","4","0","4","4","4","4","4","7","7","7","hamTop","14524","1","2","0","31123","1","1","0","4","7","7","7","4","4","4","4","Yes","","",""
"282","21","big","true","Y","412x747","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","65590d4d83c54f5e1c90fd67","43","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","10491","1","1","0","41896.39999997616","1","7","0","7","7","7","6","7","7","7","7","bottomBar","20084.5","1","10","0","70783.69999998808","1","44","0","6","6","5","7","6","7","7","6","Yes","","This was a fun and interesting survey",""
"283","21","small","true","Y","375x640","Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/119.0.6045.169 Mobile/15E148 Safari/604.1","5ea624b32b24666209c18941","36","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","19023","1","1","0","10625","1","1","0","5","5","7","5","6","5","6","6","hamTop","12199","1","1","0","17579","1","1","0","4","3","3","2","2","3","1","2","Yes","","In my opinion - the first navigation layout with the different options like Alkali Metals, Halogens etc. at the bottom of the screen - was much more easier and pleasant to use, compared to the options buried inside the hamburger menu which was not intuitive ",""
"284","21","big","true","Y","375x629","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","5ac531da1667e40001d8657e","30","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","28253","1","8","0","12786","1","2","0","1","2","1","1","3","1","1","2","hamTop","16000.000000000004","1","2","0","12078","1","1","0","5","5","4","5","5","4","4","5","Yes","","",""
"285","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"286","21","big","true","Y","414x710","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1","60f067c00efc2f5f81e0d7ca","46","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","25595.000000000004","1","1","0","100006","0","22","3","4","4","3","4","3","3","4","3","bottomBar","34973","1","12","0","35015","1","9","0","4","3","5","4","5","6","5","4","Yes","","",""
"287","21","small","true","Y","390x661","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/119.0.6045.169 Mobile/15E148 Safari/604.1","63979e1cc82f0090b477a6b0","53","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","21233","1","4","0","17859","1","2","0","4","4","4","4","4","4","4","4","hamTop","12470.000000000002","1","1","0","29038","1","1","0","7","7","7","7","4","4","1","1","Yes","","",""
"288","21","big","true","Y","412x681","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","5f4953bfe860a449fcbd0546","23","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","28414","1","16","0","26448","1","16","0","4","6","7","4","2","3","1","2","hamTop","38529","1","6","0","18286","1","5","0","6","7","5","7","4","6","5","3","Yes","","",""
"289","21","small","true","Y","834x1150","Mozilla/5.0 (iPad; CPU OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/119.0.6045.169 Mobile/15E148 Safari/604.1","654d125763e231508277b7bc","32","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","20427","1","4","0","30877","1","4","0","5","5","4","5","6","6","6","6","bottomBar","10097.000000000002","1","1","0","10444","1","1","0","7","7","7","7","6","6","4","5","Yes","","",""
"290","1","big","true","Y","390x669","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/119.0.6045.169 Mobile/15E148 Safari/604.1","611d9a96cb8247c0a431843b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"291","21","small","true","Y","412x780","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","5685850c333cbd000d4e042f","29","man","This is the button for a hamburger menu, which opens after you click on it.","hamTop","11880.400000095367","1","1","0","9524.900000095367","1","1","0","3","2","1","1","3","4","2","5","bottomBar","19628.39999985695","1","2","0","9377.399999856949","1","1","0","5","6","6","6","3","3","2","1","Yes","","",""
"292","21","big","true","Y","412x787","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","655e3e2a7774911651212960","36","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","59042","1","10","0","12463.29999999702","1","1","0","6","6","6","5","6","4","5","5","bottomBar","36387.09999999404","1","11","0","10350.79999999702","1","2","0","6","4","6","5","6","6","6","6","Yes","","",""
"293","21","small","true","Y","375x643","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/119.0.6045.169 Mobile/15E148 Safari/604.1","647ee367b17292e286a9ae22","48","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","27150","1","4","0","55026","1","4","0","5","6","7","6","6","7","7","7","bottomBar","60760","1","4","0","14351","1","1","0","7","7","6","7","7","6","6","6","Yes","","",""
"294","21","big","true","Y","360x644","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","63183358ef67a6c010b7bee0","25","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","20002.5","1","5","0","22515.700000047684","1","14","0","5","6","5","5","3","6","7","5","hamTop","21089.300000071526","1","3","0","26855","1","1","0","5","7","7","5","5","4","2","2","Yes","","",""
"295","21","small","true","Y","375x631","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1","651701711294a92ff791d9c7","51","man","This is the button for a hamburger menu, which opens after you click on it.","hamTop","21043","1","3","0","32030.000000000007","1","2","0","4","4","3","3","4","5","3","7","bottomBar","24104","1","1","0","18557","1","1","0","4","6","6","7","4","4","1","1","Yes","","",""
"296","21","big","true","Y","390x664","Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1","64143e269d37d7ec27c8a2a9","34","man","This is the button for a hamburger menu, which opens after you click on it.","hamTop","17711","1","1","0","43294","1","9","0","5","5","6","6","5","6","6","6","bottomBar","66547","1","22","0","39084","1","20","0","5","6","5","6","5","5","6","6","Yes","","None",""
"297","21","small","true","Y","375x647","Mozilla/5.0 (iPhone; CPU iPhone OS 15_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/119.0.6045.169 Mobile/15E148 Safari/604.1","63edbe2f404e314b84b42166","32","man","This is the button for a hamburger menu, which opens after you click on it.","hamTop","30935.000000000004","1","3","0","9735","1","1","0","4","4","1","1","2","3","1","3","bottomBar","20117","1","1","0","11988","1","1","0","6","6","7","6","5","5","6","6","Yes","","",""
"298","21","big","true","Y","390x669","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/119.0.6045.169 Mobile/15E148 Safari/604.1","6108f7876d88d5079619afca","25","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","42410","1","14","0","37094","1","19","0","5","4","5","5","5","6","6","6","hamTop","48798","1","6","0","34426","1","1","0","4","5","6","5","2","1","1","1","Yes","","The only technical issue was when the wizard emoji stated he wanted to build a custom battery in the beginning, the words got jumbled when trying to read what he wanted. ",""
"299","21","small","true","Y","360x650","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","612e91692cadff8a6962c5f7","30","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","15388.59999999404","1","3","0","24795.80000001192","1","4","0","6","4","2","3","4","4","2","4","bottomBar","10203.5","1","2","0","32923.19999998808","1","2","0","6","6","6","6","6","6","6","6","Yes","","",""
"300","8","big","true","Y","384x702","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","5c3156e88c6d820001abf5c6","35","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"301","21","small","true","Y","390x661","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1","610ab785360bcd633fb5b0d6","21","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","13871","1","1","0","18673","1","3","0","5","6","3","3","5","6","6","7","hamTop","10264","1","2","0","15183.000000000002","1","1","0","3","5","5","5","3","3","2","3","Yes","","The first option was better and more clear with the options at the bottom. ",""
"302","21","big","true","Y","384x718","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","5e7d64889c1c243eb1e0277a","41","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","74309.40000000596","1","33","0","66363.59999999404","1","23","0","4","6","5","4","4","3","4","3","hamTop","59689.29999998212","1","9","0","74449.29999998212","1","6","0","4","5","4","3","3","5","4","3","Yes","","",""
"303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"304","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"305","21","small","true","Y","408x598","Mozilla/5.0 (Android 6.0.1; Mobile; rv:109.0) Gecko/119.0 Firefox/119.0","60e68d7dc0d998d1c7842a65","44","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","27113","1","5","0","47869","1","7","0","7","6","7","7","7","7","7","7","hamTop","41098","1","2","0","70557","1","4","0","4","6","6","6","2","1","2","1","Yes","","",""
"306","21","big","true","Y","412x757","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","630ec7fc39d0d4ef36dba564","40","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","55472.200000047684","1","39","0","62759.10000014305","1","27","0","4","4","4","4","1","1","1","1","hamTop","15023.5","1","3","0","27735.39999985695","1","1","0","4","2","1","2","4","4","4","4","Yes","","The navigation sucks.  There should be a search button.",""
"307","21","small","true","Y","432x820","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","5a91c6b9f6dfdd0001ea30b2","30","man","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","26535.19999998808","1","5","0","19522.5","1","4","0","3","3","1","2","6","7","6","7","hamTop","9438.199999988079","1","1","0","13446.599999964237","1","1","0","2","3","1","4","3","4","4","3","Yes","","",""
"308","21","big","true","Y","384x723","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","6557827b330434ac01880695","31","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","23137.400000000373","1","4","0","69652.5","1","24","0","4","1","4","4","1","2","3","1","hamTop","50179.90000000037","1","3","0","20267.200000001118","1","1","0","6","7","6","6","6","6","4","4","Yes","","",""
"309","21","small","true","Y","375x553","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/109.0.5414.83 Mobile/15E148 Safari/604.1","5e0f443e8205266652153f5e","29","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","20936","1","4","0","32830","1","2","0","3","3","3","3","4","5","2","4","bottomBar","11839","1","2","0","13663","1","4","0","2","4","2","3","2","2","2","2","Yes","","",""
"310","21","big","true","Y","339x605","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","60fcc3edae67980c341c74e9","60","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","42501.39999985695","1","20","0","76005.5","1","21","0","4","4","1","1","4","2","1","1","hamTop","36433.299999952316","1","3","0","55249.59999990463","1","3","0","4","1","1","1","4","2","1","1","Yes","","",""
"311","21","small","true","Y","360x745","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","63f796a016e377d12cff50f1","41","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","26155","1","3","0","18882.09999999404","1","4","0","3","3","1","1","3","5","3","7","bottomBar","15846","1","2","0","28253.90000000596","1","3","0","7","7","7","7","5","5","6","6","Yes","","",""
"312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"313","21","small","true","Y","358x683","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","60ca93b4fcd7ff11d29bcb90","62","woman","This is the button for a hamburger menu, which opens after you click on it.","hamTop","20409.80000000447","1","4","0","29390.89999999851","1","4","0","5","6","5","6","7","7","7","7","bottomBar","15045.39999999851","1","2","0","10352.79999999702","1","2","0","6","6","7","7","6","7","5","5","Yes","","",""
"314","1","big","false","Y","1519x738","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","5efc24acc8e96b1e45596223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"315","2","small","false","Y","821x629","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0","655833bc43cde8ae945deb5e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"316","4","big","true","Y","390x662","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1","655237aab8cc75edc86af16b","18","man","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"317","21","small","true","Y","390x664","Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1","64275db44c9f63e924c59f3c","36","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","16511","1","4","0","10479","1","1","0","6","7","7","6","7","7","7","7","hamTop","9287.000000000002","1","1","0","29057","1","2","0","7","7","7","7","6","7","7","6","Yes","","This was fun",""
"318","21","big","true","Y","412x762","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36","5f47c8cc5a01ee1f5050804d","41","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","35302.799999952316","1","8","0","98085.5","1","61","0","3","3","4","3","2","2","2","2","hamTop","33630","1","2","0","32297.700000047684","1","5","0","3","2","3","3","4","5","6","5","Yes","","It was interesting, but for those of us not very familiar with the elements it ended up being trial and error.",""
"319","21","small","true","Y","375x631","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","5c6c90bcf4dc2c0001e8d6d1","42","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","16145","1","4","0","15800","1","4","0","4","4","5","4","7","7","7","7","hamTop","10742","1","1","0","31191","1","2","0","3","3","3","3","2","4","4","4","Yes","","",""
"320","21","big","true","Y","390x663","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1","652c22df0be0c1af87ceaf86","33","woman","This is the button for a hamburger menu, which opens after you click on it.","bottomBar","80516","1","20","0","14913","1","3","0","7","7","5","5","7","6","7","7","hamTop","22510","1","3","0","37872","1","1","0","7","7","7","7","7","7","1","1","Yes","","",""
